property_id,zipcode_freq,property_max_guests,property_bathrooms,property_bedrooms,property_beds,host_id_freq,host_for_x_months,host_response_rate,host_nr_listings,booking_price_covers,booking_min_nights,booking_max_nights,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,booking_cancel_policy,reviews_num,reviews_rating,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,target,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,property_type_infrequent_sklearn,property_room_type_Private room,property_room_type_Shared room,brussels,antwerp,host_near_property,extra_score,host_verified_score,amenities_score,last_updated_in_months
11,0.0135488837567359,4,1.5,2.0,2.0,0.0003079291762894,42,70.0,2.0,4,2,1125,30,60,90,358,2,14,92.0,10.0,9.0,9.0,10.0,9.0,9.0,0.42,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,24.0,3
12,0.1485758275596612,2,1.0,1.0,2.0,0.0003079291762894,7,100.0,2.0,1,1,1125,4,26,46,321,2,42,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6.33,45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,15.0,0
13,0.1485758275596612,2,1.0,1.0,1.0,0.0003079291762894,7,100.0,2.0,1,1,1125,13,43,73,346,2,28,94.0,10.0,10.0,10.0,10.0,10.0,9.0,4.33,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,17.0,0
14,0.1485758275596612,3,1.0,0.0,2.0,0.0001539645881447,7,100.0,1.0,1,2,1125,0,7,37,127,4,8,77.0,7.0,8.0,10.0,9.0,8.0,7.0,1.3,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,9.0,0
15,0.0700538876058506,2,1.0,1.0,1.0,0.0003079291762894,42,100.0,2.0,1,2,1125,0,0,0,0,3,51,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2.39,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,14.0,0
16,0.0700538876058506,5,1.0,2.0,4.0,0.0003079291762894,42,100.0,2.0,1,2,1125,0,0,0,0,3,3,100.0,10.0,9.0,10.0,10.0,9.0,9.0,0.24,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,16.0,0
17,0.0363356428021555,4,2.0,2.0,2.0,0.0001539645881447,7,91.0,2.0,1,2,15,13,20,38,38,4,24,97.0,10.0,9.0,10.0,10.0,9.0,10.0,6.32,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,15.0,1
18,0.2246343341031562,2,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,1,2,10,0,0,0,0,4,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,15.0,16
19,0.0988452655889145,2,1.5,1.0,1.0,0.0001539645881447,7,86.0,1.0,1,3,10,0,8,36,36,4,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.67,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,14.0,0
20,0.0700538876058506,2,1.0,1.0,2.0,0.0001539645881447,7,50.0,1.0,1,2,100,22,52,82,172,4,8,83.0,9.0,10.0,10.0,10.0,9.0,9.0,1.37,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,14.0,3
21,0.0178598922247882,2,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,1,2,1125,0,5,7,80,4,32,99.0,10.0,10.0,10.0,10.0,9.0,10.0,4.87,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,14.0,0
22,0.0560431100846805,2,1.0,1.0,1.0,0.0004618937644341,42,100.0,4.0,1,5,1125,8,22,36,65,2,16,89.0,9.0,8.0,10.0,9.0,8.0,9.0,1.99,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,18.0,0
23,0.0560431100846805,2,1.0,0.0,1.0,0.0004618937644341,42,100.0,4.0,1,5,1125,1,25,55,145,4,4,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0.71,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,12.0,1
25,0.0560431100846805,4,1.0,0.0,1.0,0.0004618937644341,42,100.0,4.0,1,5,1125,8,22,42,43,2,9,87.0,8.0,8.0,9.0,9.0,8.0,9.0,1.9,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,8.0,0
26,0.2246343341031562,2,1.0,0.0,1.0,0.0001539645881447,16,100.0,1.0,1,5,1125,0,0,9,9,4,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.35,169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,17.0,1
27,0.024172440338722,2,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,2,2,1125,0,5,35,310,3,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.21,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,14.0,2
29,0.0988452655889145,3,1.0,1.0,2.0,0.0001539645881447,42,100.0,1.0,1,1,1125,6,24,46,321,2,138,77.0,8.0,8.0,9.0,9.0,9.0,8.0,3.33,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,16.0,0
30,0.2246343341031562,2,1.0,1.0,1.0,0.0001539645881447,70,100.0,1.0,2,3,27,6,24,54,54,2,1,100.0,10.0,10.0,10.0,8.0,10.0,10.0,0.24,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,13.0,1
31,0.2246343341031562,2,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,2,2,1125,10,39,69,159,3,26,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.45,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,23.0,0
32,0.042802155504234,2,2.0,1.0,1.0,0.0003079291762894,7,100.0,2.0,1,1,7,28,58,88,88,4,18,89.0,9.0,9.0,10.0,10.0,8.0,9.0,2.84,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,20.0,0
33,0.042802155504234,2,2.0,1.0,1.0,0.0003079291762894,7,100.0,2.0,1,1,90,1,1,18,19,4,5,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1.4,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,17.0,0
34,0.1485758275596612,4,1.0,1.0,2.0,0.0001539645881447,42,100.0,1.0,1,3,16,0,0,0,0,2,2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,2.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,13.0,1
35,0.0409545804464973,2,1.0,1.0,1.0,0.0001539645881447,42,89.0,1.0,2,28,375,0,0,29,304,3,11,98.0,9.0,10.0,10.0,10.0,8.0,10.0,0.3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,17.0,0
36,0.0363356428021555,4,1.0,2.0,3.0,0.0003079291762894,42,90.0,2.0,1,2,1125,5,35,65,156,3,20,95.0,9.0,10.0,10.0,10.0,9.0,10.0,2.29,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,10.0,3
37,0.0363356428021555,2,1.0,1.0,1.0,0.0003079291762894,42,90.0,2.0,1,2,1125,0,11,41,41,3,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,7.0,0
38,0.0988452655889145,3,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,2,7,1125,0,0,0,0,3,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,16.0,0
39,0.024172440338722,6,2.0,3.0,3.0,0.0006158583525789,42,100.0,4.0,2,2,1125,5,13,21,232,3,54,93.0,9.0,10.0,10.0,10.0,9.0,10.0,5.45,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,15.0,0
40,0.024172440338722,10,4.0,5.0,5.0,0.0006158583525789,42,100.0,4.0,1,2,1125,4,13,27,271,3,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,14.0,1
41,0.024172440338722,2,1.0,1.0,1.0,0.0006158583525789,42,100.0,4.0,1,2,1125,14,42,64,336,3,130,93.0,10.0,10.0,10.0,10.0,9.0,9.0,3.1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,12.0,0
42,0.024172440338722,2,1.0,1.0,1.0,0.0006158583525789,42,100.0,4.0,2,2,1125,11,36,58,330,3,128,93.0,10.0,9.0,10.0,10.0,9.0,9.0,3.35,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,11.0,0
43,0.042802155504234,4,1.0,1.0,2.0,0.0001539645881447,7,91.0,1.0,1,1,1125,28,58,88,220,3,1,100.0,10.0,10.0,8.0,10.0,8.0,10.0,1.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,7.0,0
44,0.2246343341031562,1,1.0,0.0,1.0,0.0001539645881447,42,100.0,1.0,1,1,1125,0,0,0,0,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,19
45,0.2246343341031562,5,2.0,3.0,4.0,0.0001539645881447,42,100.0,1.0,1,4,1125,0,0,0,127,4,4,95.0,9.0,9.0,9.0,10.0,10.0,10.0,0.29,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,0
46,0.0988452655889145,2,1.0,0.0,1.0,0.0001539645881447,42,100.0,1.0,1,1,7,0,0,0,0,4,3,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0.24,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,7.0,1
47,0.0988452655889145,5,2.5,3.0,3.0,0.0003079291762894,7,56.0,2.0,5,3,1125,29,59,89,180,2,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.23,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,13.0,1
48,0.2246343341031562,4,1.5,2.0,2.0,0.0003079291762894,7,56.0,2.0,1,3,1125,27,57,87,177,4,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,10.0,1
49,0.048960739030023,3,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,3,6,1125,0,0,0,0,3,12,95.0,10.0,9.0,10.0,10.0,9.0,10.0,0.43,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,18.0,3
50,0.042802155504234,2,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,1,3,29,59,89,89,4,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.69,95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,10.0,1
51,0.1485758275596612,3,1.5,2.0,2.0,0.0001539645881447,7,100.0,1.0,1,1,1125,0,0,0,0,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,11.0,7
52,0.0135488837567359,2,1.0,1.0,1.0,0.0001539645881447,87,100.0,1.0,2,3,30,23,53,83,358,3,87,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.77,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,16.0,2
53,0.2246343341031562,2,1.0,1.0,1.0,0.0003079291762894,7,90.0,2.0,1,2,10,4,4,4,25,4,21,90.0,10.0,9.0,10.0,9.0,10.0,9.0,3.42,58,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,14.0,0
54,0.2246343341031562,4,1.0,2.0,2.0,0.0003079291762894,7,90.0,2.0,3,2,15,0,0,2,2,2,3,100.0,9.0,8.0,10.0,10.0,10.0,10.0,0.51,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,9.0,0
55,0.2246343341031562,1,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,7,1125,29,59,89,89,4,3,90.0,10.0,10.0,8.0,9.0,10.0,10.0,0.48,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,16.0,0
56,0.0135488837567359,3,1.5,1.0,2.0,0.0001539645881447,42,100.0,1.0,1,1,1125,0,0,8,253,4,3,80.0,8.0,8.0,10.0,9.0,8.0,9.0,0.13,89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,14.0,1
57,0.1485758275596612,1,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,1,30,0,0,0,0,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,10.0,6
58,0.0988452655889145,4,1.0,1.0,2.0,0.0001539645881447,42,100.0,1.0,1,5,1125,0,0,0,0,2,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,10.0,7
59,0.0210931485758275,2,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,3,1125,15,15,24,114,3,7,86.0,10.0,7.0,9.0,9.0,10.0,9.0,1.64,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,14.0,0
60,0.0391070053887605,6,1.0,4.0,4.0,0.0001539645881447,42,100.0,1.0,2,2,1125,9,25,40,115,3,5,96.0,10.0,9.0,10.0,10.0,9.0,10.0,5.0,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,22.0,0
61,0.0204772902232486,2,1.0,1.0,1.0,0.0001539645881447,7,80.0,1.0,1,1,7,0,0,1,1,4,12,95.0,10.0,10.0,9.0,9.0,8.0,9.0,3.13,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,10.0,0
62,0.0988452655889145,4,1.5,2.0,2.0,0.0001539645881447,42,100.0,1.0,4,2,20,0,0,0,0,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,13.0,20
63,0.0101616628175519,3,1.0,1.0,1.0,0.0003079291762894,7,100.0,2.0,2,1,6,8,21,25,25,3,8,95.0,9.0,9.0,10.0,10.0,10.0,10.0,5.85,130,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,18.0,0
64,0.0101616628175519,2,1.0,1.0,2.0,0.0003079291762894,7,100.0,2.0,1,1,6,5,14,20,20,3,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,14.0,0
65,0.0988452655889145,3,1.0,1.0,1.0,0.0001539645881447,70,100.0,3.0,2,15,90,0,6,36,63,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.24,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,15.0,0
66,0.0132409545804464,5,2.0,3.0,3.0,0.0001539645881447,42,100.0,2.0,1,5,1125,0,0,23,23,2,17,84.0,8.0,8.0,9.0,9.0,9.0,8.0,0.46,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,13.0,1
67,0.048960739030023,3,1.0,1.0,2.0,0.0001539645881447,42,100.0,1.0,1,2,30,0,0,0,0,4,1,60.0,8.0,4.0,10.0,10.0,8.0,6.0,0.05,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,9.0,2
68,0.1485758275596612,2,1.0,1.0,1.0,0.0003079291762894,7,100.0,2.0,1,1,1125,0,0,29,29,4,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.17,175,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,13.0,1
69,0.1485758275596612,7,2.0,4.0,5.0,0.0003079291762894,7,100.0,2.0,1,1,1125,7,24,49,74,4,13,92.0,10.0,9.0,10.0,10.0,9.0,9.0,2.07,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,7.0,0
70,0.0135488837567359,2,1.0,1.0,2.0,0.0001539645881447,42,40.0,1.0,1,2,1125,0,0,0,274,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,8.0,2
71,0.0988452655889145,3,1.0,2.0,2.0,0.0001539645881447,42,75.0,1.0,2,3,30,0,13,43,318,3,12,80.0,9.0,8.0,8.0,9.0,8.0,8.0,0.29,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,1
72,0.0700538876058506,2,1.0,1.0,1.0,0.0007698229407236,6,86.0,5.0,1,1,100,5,19,35,192,4,1,100.0,10.0,8.0,10.0,10.0,10.0,8.0,0.71,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,19.0,0
73,0.0700538876058506,2,1.0,1.0,1.0,0.0007698229407236,6,86.0,5.0,1,1,30,5,22,36,189,4,1,80.0,10.0,10.0,10.0,2.0,9.0,9.0,0.16,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,16.0,0
74,0.0700538876058506,2,1.0,1.0,1.0,0.0007698229407236,6,86.0,5.0,1,1,31,14,33,56,211,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,18.0,0
75,0.0700538876058506,2,1.0,0.0,1.0,0.0007698229407236,6,86.0,5.0,1,1,31,10,25,41,202,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,18.0,0
76,0.0700538876058506,2,1.0,0.0,1.0,0.0007698229407236,6,86.0,5.0,1,1,180,12,35,53,214,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,15.0,0
77,0.048960739030023,4,1.0,1.0,1.0,0.0001539645881447,6,100.0,1.0,4,1,90,8,8,36,120,3,25,93.0,10.0,10.0,10.0,10.0,10.0,9.0,4.21,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,21.0,0
78,0.1485758275596612,2,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,1,5,15,0,0,0,128,4,3,100.0,10.0,8.0,9.0,10.0,10.0,10.0,3.0,57,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,9.0,0
79,0.2246343341031562,4,1.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,1,1,1125,0,0,0,0,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,15
80,0.0178598922247882,2,0.5,1.0,1.0,0.0001539645881447,42,100.0,1.0,1,1,1125,6,21,24,289,3,78,93.0,9.0,10.0,10.0,10.0,9.0,10.0,9.79,28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,13.0,0
81,0.0988452655889145,4,1.0,2.0,3.0,0.0001539645881447,70,100.0,1.0,2,2,31,12,17,46,316,3,77,83.0,9.0,8.0,9.0,9.0,9.0,9.0,1.69,89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,12.0,0
82,0.0988452655889145,2,2.0,1.0,1.0,0.0001539645881447,6,100.0,1.0,1,2,1125,6,36,66,341,3,14,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.36,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,13.0,0
83,0.1485758275596612,1,1.0,1.0,1.0,0.0001539645881447,6,100.0,1.0,1,1,10,25,55,85,86,4,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.55,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,14.0,1
84,0.2246343341031562,6,1.0,2.0,2.0,0.0003079291762894,6,16.0,2.0,1,1,1125,26,38,66,66,4,7,100.0,9.0,9.0,10.0,10.0,10.0,10.0,1.11,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,11.0,0
85,0.2246343341031562,4,1.0,1.0,2.0,0.0003079291762894,6,16.0,2.0,1,1,1125,28,56,84,84,4,6,95.0,9.0,9.0,9.0,9.0,10.0,10.0,1.19,95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,10.0,0
86,0.0409545804464973,5,1.0,1.0,1.0,0.0001539645881447,87,100.0,2.0,2,2,1125,7,37,67,342,4,0,93.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,9.0,6.0,1
87,0.0700538876058506,2,1.0,1.0,1.0,0.0003079291762894,42,100.0,2.0,1,2,1125,7,9,22,222,3,29,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1.16,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,21.0,0
88,0.0700538876058506,2,1.0,1.0,1.0,0.0003079291762894,42,100.0,2.0,1,2,1125,11,15,30,237,3,48,96.0,9.0,10.0,10.0,10.0,9.0,10.0,1.96,34,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,20.0,0
