property_id,property_name,property_summary,property_space,property_desc,property_neighborhood,property_notes,property_transit,property_access,property_interaction,property_rules,property_zipcode,property_lat,property_lon,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,property_beds,property_bed_type,property_amenities,property_scraped_at,property_last_updated,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_nr_listings,host_nr_listings_total,host_verified,booking_price_covers,booking_min_nights,booking_max_nights,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,booking_cancel_policy,reviews_num,reviews_first,reviews_last,reviews_rating,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,extra,target
1662,La Victorienne : chambre double et petit déjeuner,"Chambre double de 20m2, au design exclusif avec baignoire centrale, double évier, wc privé/séparé.  Peignoir, produits à discrétion, serviettes à disposition. TV, Wifi, mini frigo. Coin canapé. Très confortable. Petit déjeuner de base inclus. Maison totalement sécurisée. Agréable patio intérieur.  Au coeur de Bruxelles, à 10 minutes de marche de la fameuse Grand Place de Bruxelles. A proximité immédiate de la rue piétonne : rue Neuve, des transports en communs, des musées, des restaurants.","Maison Bruxelloise possédant 3 chambres doubles totalement rénovées. Le sens du détail, soigné, propreté, confort. L'ensemble du contenu peut être acheté au prix d'expo.","Chambre double de 20m2, au design exclusif avec baignoire centrale, double évier, wc privé/séparé.  Peignoir, produits à discrétion, serviettes à disposition. TV, Wifi, mini frigo. Coin canapé. Très confortable. Petit déjeuner de base inclus. Maison totalement sécurisée. Agréable patio intérieur.  Au coeur de Bruxelles, à 10 minutes de marche de la fameuse Grand Place de Bruxelles. A proximité immédiate de la rue piétonne : rue Neuve, des transports en communs, des musées, des restaurants. Maison Bruxelloise possédant 3 chambres doubles totalement rénovées. Le sens du détail, soigné, propreté, confort. L'ensemble du contenu peut être acheté au prix d'expo. Accès de 07AM à 6PM à l'espace commun et convivial. All In One est à votre disposition de 07AM à 6PM. Situation centrale, à une enjambée de la rue Neuve, première artère commerciale, en terme de passage, d'Europe. A 5' de la merveilleuse Grand-Place de Bruxelles A proximité immédiate de tous les transports Buanderie à disposition moy","Situation centrale, à une enjambée de la rue Neuve, première artère commerciale, en terme de passage, d'Europe. A 5' de la merveilleuse Grand-Place de Bruxelles",Buanderie à disposition moyennant supplément,A proximité immédiate de tous les transports,Accès de 07AM à 6PM à l'espace commun et convivial.,All In One est à votre disposition de 07AM à 6PM.,Règlement général de Police : pas de nuisances sonores de 10PM à 07AM Chambres non fumeurs Occupation limitée à 2 personnes Règlement d'ordre intérieur sur demande.,1000,50.85507291283042,4.357041252894757,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"TV, Cable TV, Internet, Wireless Internet, Air conditioning, Kitchen, Pets allowed, Breakfast, Heating, Suitable for events, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-08,5 weeks ago,18527230,2015-12-12,"Brussels, Brussels, Belgium",Chef d'entreprise.  Conceptualisation de projet.  Financière.  Décoration d'intérieur. Sports auto. Navigatrice dans l'âme. Montagne - ski,within a few hours,100.0,4.0,4.0,"email, phone, facebook, reviews, work_email",1,2,1125,29,59,89,364,strict,0,,,,,,,,,,,"Host Has Profile Pic, Is Location Exact",125
1674,The Fig Tree apartment @Botanique,"Bright & cosy quality apartment located just off Botanique, near center, the EU district and train station (direct to airport). Comfy bedding, tv/wifi, breakfast basics, linen,towels &toiletries provided. For the discerning traveller.","Furnished with a modern fusion style, quality fittings, comfy box-spring bed (bedroom) and large sofa-bed (living), and an extra single foldable bed.  The apartment is located on 1st floor of a typical old Brussels house.  It includes an entrance hall with study corner, living/dining area with fully equipped open plan kitchen, a bathroom with shower and a separate bedroom at the back (quite) overlooking the common garden area and a beautiful fig tree.","Bright & cosy quality apartment located just off Botanique, near center, the EU district and train station (direct to airport). Comfy bedding, tv/wifi, breakfast basics, linen,towels &toiletries provided. For the discerning traveller. Furnished with a modern fusion style, quality fittings, comfy box-spring bed (bedroom) and large sofa-bed (living), and an extra single foldable bed.  The apartment is located on 1st floor of a typical old Brussels house.  It includes an entrance hall with study corner, living/dining area with fully equipped open plan kitchen, a bathroom with shower and a separate bedroom at the back (quite) overlooking the common garden area and a beautiful fig tree. Guests enjoy the full apartment. A shared garden with a beautiful figue tree  is also accessible at the back of the house (but there is no grass  yet) as well as a a separate laundry room is available if needed. I will be delighted to welcome you, provide you with information on how to move around Brussels a","St Josse is a quiet no frills neighborhood. A restaurant street is a few min walk from the house. Two supermarkets and a local groceries store are at walking distance. Closeby ""Les Halles de Schaerbeek"" and the Botanique hold regular concerts and events (check their websites). Have a nice walk in Botanique (botanical gardens) and rest at the cafeteria by the conservatory.",Possibility to have a cot bed for babies and an extra foldable bed in living room (for 3rd person). Kids up to age of 3 do not need to pay (so don't count in number of guests but please do inform me with first message so I can cater for it).,"The apartment is well located just off Botanique metro/tram.  Royal Palace&park/Parliement/Cathedral (5min by tram). I advice to start city visit there and continue to museums area (behind royal palace), Sablon/justice palace and than down to grand place/manneken pis/bourse.  Walking distance to EU district - tour Madou & Convent Garden (can also take metro: 2stops to art&loi)  Walking distance to city center /shopping area (city2): walk down rue neuve up to the Theatre de la Monnaie and Grand Place. Excursions to Bruges/GentAntwerp: trains depart from nearby Gare du Nord to all cities/towns",Guests enjoy the full apartment. A shared garden with a beautiful figue tree  is also accessible at the back of the house (but there is no grass  yet) as well as a a separate laundry room is available if needed.,"I will be delighted to welcome you, provide you with information on how to move around Brussels and insight into cool local-style resto/bars, cultural events, typical flee markets/antique district walks etc. If not in Brussels a friend will welcome you.",Enjoy the place and respect it. Please do not use towels for taking make up off. NO smoking inside the apartment. you can smoke on outiside space.  Quite house/building: so please no loud music or partying in the evening.,1210,50.85606156530766,4.371664275253703,Condominium,Entire home/apt,5,1.0,1.0,3.0,Real Bed,"TV, Cable TV, Internet, Wireless Internet, Kitchen, Breakfast, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Smoke detector, Fire extinguisher, Essentials, Shampoo",2017-05-09,today,18628261,2014-07-22,"Saint-Gilles, Brussels, Belgium","Hi Everybody, Salut a tous, Ciao a tutti, Hola a todos/as,  I am italian and I live in brussels since more than 10 years. I am a policy adviser on international cooperation and environment.  I really like traveling and meeting new people.   I am very hospitable and will be very happy to give you tips on places to visit, shop and go out as well as practical info on how to move around in the city.    My interests revolve around cooking (any type of cuisine) and good wine/beers, antiques and interior design/architecture. I also like arts, reading, diving and skiing.",within a few hours,94.0,3.0,3.0,"email, phone, reviews, manual_offline, jumio",2,1,1125,11,30,51,326,strict,113,2015-06-15,2017-04-22,92.0,10.0,9.0,9.0,9.0,8.0,9.0,4.88,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",80
1695,Comfortable and close to center,15 minutes from Schuman and centre! Ideal location! Easy transport!  You can say on the Ikea Couch that turns into comfortable bed! Single of couples.  Access to kitchen!  Internet access,,15 minutes from Schuman and centre! Ideal location! Easy transport!  You can say on the Ikea Couch that turns into comfortable bed! Single of couples.  Access to kitchen!  Internet access,,,,,,,1030,50.85895740827103,4.380759826888526,Apartment,Shared room,2,1.5,1.0,1.0,Couch,"Internet, Wireless Internet, Kitchen, Heating",2017-05-08,32 months ago,18760844,2014-07-23,US,,,,1.0,1.0,"email, phone",1,2,4,30,60,90,365,flexible,0,,,,,,,,,,,Host Has Profile Pic,95
1717,comfortable room,located 15  mints by walk from central my home is located almost in Antwerp central   close to my home here a big park with nice cargoes ..and nice fountain,,located 15  mints by walk from central my home is located almost in Antwerp central   close to my home here a big park with nice cargoes ..and nice fountain,,,,,,"Every guest will be treated like a friend. To stay at our place we would like to ask you to respect our place and neighbors. Please be quiet after 10 pm, do not smoke inside the house, do not use private/personal stuff which is not provided. Please do not invite other guests or friends in our apartment - unless you have discussed this beforehand with us. We can't allow pets. Have a lovely stay !",2060,51.23242463461382,4.424611585572402,Apartment,Shared room,3,1.0,1.0,3.0,Real Bed,"TV, Cable TV, Internet, Wireless Internet, Kitchen, Free parking on premises, Hot tub, Indoor fireplace, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Shampoo",2017-05-12,23 months ago,18917692,2014-07-26,"Antwerp, Flanders, Belgium",social friendly easy going boy love to meet people around the world in my home ....and being a nice host that they remind me forever .,within an hour,90.0,1.0,1.0,"email, phone, reviews",1,1,1125,27,57,87,362,flexible,15,2015-03-29,2017-05-07,72.0,8.0,8.0,9.0,9.0,8.0,8.0,0.58,"Host Has Profile Pic, Is Location Exact",120
1744,Canapé lit grand place,"A votre disposition un canapé lit, douche et cuisine. Wi-fi. Plein centre et 5 min de la Grand place. Gay-friendly Non fumeur.",Proche de la gare centrale. Proche de la Grand Place.,"A votre disposition un canapé lit, douche et cuisine. Wi-fi. Plein centre et 5 min de la Grand place. Gay-friendly Non fumeur. Proche de la gare centrale. Proche de la Grand Place.",,,,,,,1000,50.84881298818501,4.349525652153184,Apartment,Shared room,1,2.0,1.0,1.0,Pull-out Sofa,"TV, Wireless Internet, Kitchen, Heating, Washer, Dryer",2017-05-08,4 weeks ago,19096049,2014-07-29,"Brussels, Brussels, Belgium",,within a day,100.0,2.0,2.0,"email, phone, reviews, jumio, government_id",1,1,1125,30,60,90,365,flexible,0,,,,,,,,,,,"Host Has Profile Pic, Host Identity Verified",49
1757,Loft in city center!,Spacious loft (100m2) composed of three different levels.  Big terrace and interior garden. Grand place is only 5 min walking.,"It's actually a simple open space with 3 different levels. The first level contains hallway with toilet, further dining room and kitchen. Next level is the living space with comfortable seats/sofa. You can find the sleeping and bathroom on the third level.",Spacious loft (100m2) composed of three different levels.  Big terrace and interior garden. Grand place is only 5 min walking.,My neigbourhood got selected as the coolest in Brussels. The vibrant atmosphere during the day combines perfectly with the calm and peacefull ambient in the evenings.,"You will need to share the place with a beautifull and adorable black Brussels kat. She will need some hughs, water and food.","Trains, buses, metro, bikes, you name it. It's all there!","Guests can use the whole space, terrace and interior garden.",I will not be present during your stay but as an art-historian I am more than happy to give you tips about Brussels visits/history/nightlife. Ancient and modern guides of Brussels monuments and neighbourhoods are also available.,I hope visitors feel at home and respect the place.,1000,50.84959941278517,4.343741605469597,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"TV, Internet, Wireless Internet, Kitchen, Heating, Family/kid friendly, Washer, Smoke detector, Essentials",2017-05-09,a week ago,19212294,2014-07-31,"Brussels, Brussels, Belgium",,within a few hours,100.0,1.0,1.0,"email, phone, reviews",2,30,1125,0,0,0,250,flexible,64,2014-08-26,2016-12-31,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1.94,"Host Has Profile Pic, Is Location Exact",180
1759,Cosy place in the centre of Antwerp,"My appartment is near Central Station, the city centre, restaurants and parks. You will get breakfast if you want to. You can sleep on my couch, which can be transformed into a nice bed.",,"My appartment is near Central Station, the city centre, restaurants and parks. You will get breakfast if you want to. You can sleep on my couch, which can be transformed into a nice bed.",,,,,,,2060,51.22436551102175,4.428669831672602,Apartment,Shared room,1,1.0,1.0,1.0,Pull-out Sofa,"Wireless Internet, Kitchen, Smoking allowed, Pets allowed, Breakfast, Heating, Family/kid friendly, Washer, Dryer, Shampoo, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50",2017-05-12,8 months ago,19218121,2014-07-31,"Antwerp, Flanders, Belgium",,,,1.0,1.0,"email, phone, reviews",1,1,1125,0,0,0,253,strict,8,2016-07-28,2016-09-12,88.0,9.0,10.0,9.0,10.0,7.0,10.0,0.83,"Host Has Profile Pic, Instant Bookable",45
1861,Guest room near station & airport!,"Luxurious, cosy and comfortable Guests can spend the night in accommodation located above the Vina Clara restaurant. The Vina Clara guest room is decorated and furnished in a cosy, contemporary style that respects the original Art Nouveau townhouse.",The guest room has a private bathroom with bath and toilet. Your room will be a welcoming home from home after a long journey or a day packed with meetings. A digital TV and free internet in the room ensure that you can be in touch with the rest of the world whenever you need to. Breakfast and diner on request!,"Luxurious, cosy and comfortable Guests can spend the night in accommodation located above the Vina Clara restaurant. The Vina Clara guest room is decorated and furnished in a cosy, contemporary style that respects the original Art Nouveau townhouse. The guest room has a private bathroom with bath and toilet. Your room will be a welcoming home from home after a long journey or a day packed with meetings. A digital TV and free internet in the room ensure that you can be in touch with the rest of the world whenever you need to. Breakfast and diner on request! The Vina Clara guest room is perfectly located between the city centre and the green belt. You can enjoy the bustling Zurenborg neighbourhood one moment and the next go for a stroll in the adjacent Te Boelaer park. The guest room is also very conveniently located for all public transport. Antwerp-Berchem train station and Antwerp Airport are both a stone’s throw from Vina Clara. The tram stops 100 metres from the door. VINA CLARA GUE",The Vina Clara guest room is perfectly located between the city centre and the green belt. You can enjoy the bustling Zurenborg neighbourhood one moment and the next go for a stroll in the adjacent Te Boelaer park. The guest room is also very conveniently located for all public transport. Antwerp-Berchem train station and Antwerp Airport are both a stone’s throw from Vina Clara. The tram stops 100 metres from the door.,"VINA CLARA GUEST ROOM FACILITIES: -Free internet and digital TV (Belgacom), with movies & series pass (large selection of free films and series). -Complimentary Senseo coffee, Revolution tea and filtered water are available in the room.  -Complimentary shower and bath care products. Towels, bathrobes and hairdryer. -We can adapt the breakfast to meet any dietary requirements (provided that you mention this upon booking). -Breakfast is brought to your room at the time of your choosing. (not includes in room price) -Check-in and check-out times can be flexible (provided that you arrange this upon booking). -Room service is available. -Wide selection of wines and liqueurs (not included in the room price). -You can combine your stay with dinner in our restaurant on the ground floor (provided that you mention this upon booking). Dinner in the restaurant is charged separately. You can pay in cash or with a Maestro or Visa card in the restaurant.  -In the evening, you can choose to have a sim",,,,-Our establishment is completely non smoking. -Pets are not allowed. -Check-in is from 4:30 pm unless otherwise agreed. Check-out is until 10 am unless otherwise agreed. -Breakfast is always served in the room. -Vina Clara is not liable for accidents or loss or damage to personal property. -Minors must always be accompanied by an adult.,2140,51.19951646908369,4.449385787333469,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"TV, Cable TV, Internet, Wireless Internet, Doorman, Breakfast, Heating, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",2017-05-12,2 months ago,19693260,2014-08-08 00:00:00,"Antwerp, Flanders, Belgium",,within a day,100.0,1.0,1.0,"email, phone, reviews, jumio",1,7,1125,27,57,87,231,strict,6,2015-09-23,2016-09-21,88.0,9.0,9.0,9.0,9.0,8.0,9.0,0.3,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",145
1865,Chambre Kot,"Mon logement est proche de Metro Roodebeek, Supermarché Delhaize.. Vous apprécierez mon logement pour la luminosité, le quartier, le lit confortable et la cuisine full équipée . Mon logement est parfait pour les couples, les voyageurs en solo et les voyageurs d'affaires.","En face d'un arrêt de bus qui mène en 1 arrêt au métro roodebeek à 600m. Accès à l'unnif au centre ,...","Mon logement est proche de Metro Roodebeek, Supermarché Delhaize.. Vous apprécierez mon logement pour la luminosité, le quartier, le lit confortable et la cuisine full équipée . Mon logement est parfait pour les couples, les voyageurs en solo et les voyageurs d'affaires. En face d'un arrêt de bus qui mène en 1 arrêt au métro roodebeek à 600m. Accès à l'unnif au centre ,...",,,,,,,1200,50.85140708442383,4.434228317688033,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Heating, Washer, Dryer, Smoke detector, Essentials, Lock on bedroom door, Hangers, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-09,3 months ago,19727163,2014-08-09 00:00:00,"Woluwe-Saint-Lambert, Brussels, Belgium",Je vis a Bruxelles depuis toujours et j'ai voyagé loin. La je vis avec mon mec et nos deux enfants dans une maison.,within a day,100.0,1.0,1.0,"email, phone, reviews, jumio",1,15,1125,0,3,24,52,flexible,2,2016-07-10,2016-08-30,80.0,8.0,10.0,10.0,10.0,10.0,10.0,0.2,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",145
1901,Clean Room in Evere-close to BRU AirPort-Zaventem,"My place good for business travellers and also for solo adventurers.  It is very close to NATO, Diegem, Zaventem, Airport. City center is 20mins by public transport. Bus stop and major supermarkets are within 2 to 5 mins walk. This is a 2 Bed room apartment and you get one of the bedroom for yourself. Direct Bus to/from Airport / NATO (Bus num: 21)  is 5 mins walk away. City center bus stops just in front of the apartment. (63 and 66 buses)",,"My place good for business travellers and also for solo adventurers.  It is very close to NATO, Diegem, Zaventem, Airport. City center is 20mins by public transport. Bus stop and major supermarkets are within 2 to 5 mins walk. This is a 2 Bed room apartment and you get one of the bedroom for yourself. Direct Bus to/from Airport / NATO (Bus num: 21)  is 5 mins walk away. City center bus stops just in front of the apartment. (63 and 66 buses)",,,,,,,1140,50.861386965051175,4.409489019007238,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,"TV, Internet, Wireless Internet, Kitchen, Elevator in building, Hot tub, Indoor fireplace, Heating, Washer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-09,a week ago,20005248,2014-08-14 00:00:00,"Brussels, Brussels, Belgium",,within a few hours,100.0,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,15,45,75,350,flexible,28,2016-10-01,2017-04-26,92.0,10.0,9.0,10.0,10.0,9.0,10.0,3.8,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",50
1904,Tour & Taxis chambre avec vue,"En face de Tour & Taxis, chambre lumineuse avec lit escamotable, vue spectaculaire . Accès direct à la terrasse. Parfait pour visiter les expos à Tour & Taxis.",,"En face de Tour & Taxis, chambre lumineuse avec lit escamotable, vue spectaculaire . Accès direct à la terrasse. Parfait pour visiter les expos à Tour & Taxis.",,,,,,- Pas de bruit après 22h,1000,50.86507218751771,4.350779071345007,Guesthouse,Private room,1,1.0,1.0,1.0,Real Bed,"Wireless Internet, Smoking allowed, Elevator in building, Heating, Essentials, Hangers, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-09,4 weeks ago,20016795,2014-08-14 00:00:00,"Brussels, Brussels, Belgium",,within an hour,100.0,1.0,1.0,"email, phone, facebook, reviews, jumio",1,3,1125,19,35,65,65,moderate,1,2017-04-27,2017-04-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",55
1906,"Deluxe Suite in heart EU, low rate!",Welcome to a B&B of high-quality design and comfort. Located on a quiet street in the EU district and only a short metro to the city center.  Ideal for tourists or businesspeople. Enjoy a blissful night’s rest in luxury bedding. FULLY equipped.,"EU B&B offers stylish rooms in the heart of the European Institutions. Elegance, comfort, and hospitality are the key elements of a perfect getaway for both leisure and business. Our B&B is ideally located with many sites within walking distance and a variety of fabulous bars and restaurants on your doorstep.  The room with rich, solid oak floors is open and spacious. All modern facilities (free wifi, LCD flat-screen cable TV with 70 channels, work area, iron and ironing board, queen bed or two twin beds upon request). En suite bathroom with walk-in shower and toilet come equipped with quality toiletries, soft towels and hairdryer. The secluded side-street location and double-glazed windows provide calm. Rich curtains provide shut-eye day or night. Enjoy the oasis of tranquility after a long day of exploring the city or a hard day at the office.  Feel immediately welcomed as a five-star guest with a complimentary bowl of fresh fruit and bottled water. A mini-bar will provide for all yo","Welcome to a B&B of high-quality design and comfort. Located on a quiet street in the EU district and only a short metro to the city center.  Ideal for tourists or businesspeople. Enjoy a blissful night’s rest in luxury bedding. FULLY equipped. EU B&B offers stylish rooms in the heart of the European Institutions. Elegance, comfort, and hospitality are the key elements of a perfect getaway for both leisure and business. Our B&B is ideally located with many sites within walking distance and a variety of fabulous bars and restaurants on your doorstep.  The room with rich, solid oak floors is open and spacious. All modern facilities (free wifi, LCD flat-screen cable TV with 70 channels, work area, iron and ironing board, queen bed or two twin beds upon request). En suite bathroom with walk-in shower and toilet come equipped with quality toiletries, soft towels and hairdryer. The secluded side-street location and double-glazed windows provide calm. Rich curtains provide shut-eye day or nig","Due to the proximity to the EU the neighborhood is very international. Relish the beautiful scenery of Ambriorix Square or unwind at adjacent Marie Louise Square with it's waterfall, fountain and lake.  A wide variety of cafés and restaurants serving Belgian and international cuisine are located in the immediate surroundings as well as several supermarkets within walking distance.","Brussels City Tax is 4.24 euro per night. It will be collected in cash upon arrival.  Check-in | 15:00 - 22:00 Check-out | Until 12:00  - You are welcome to leave your luggage if needed. Check-in and out times can be flexible depending on previous and upcoming guests. For a charge and based on availability, EU B&B  provides an airport shuttle.","2hr free public parking on street of B&B with blue disc displayed (provided by the B&B upon request). Free evenings and Sundays. Bus connections at Ambriorix Square 50m away. Connection to metro, train and airport bus at Rond Point Schuman 700m away.",A kitchen and lounge area is shared with other guests of the B&B. Complimentary tea and coffee facilities in kitchen.,We are glad to provide you with any information or assistance you need.,"Brussels City Tax of 4.24 euro per night will be collected in cash upon arrival. All grounds are non-smoking. Guests who smoke indoors will be charged 50 euro cleaning fee.  Guests are kindly requested to inform us of their estimated arrival time.  One child under 3 years stays free of charge in a children's crib or using existing beds. A folding bed can be added for 20 euro per night. Supplements are not calculated automatically in the total costs and will have to be paid for separately when checking out.  No credit cards accepted on premises, only cash should you use the  mini-bar or wish to add breakfast. Unpaid mini-bar will incur 5 euro fee plus payment for items used (1 euro per item). Lost keys incur 50 euro replacement fee.",1000,50.84711061991393,4.38238185265377,Bed & Breakfast,Entire home/apt,3,1.5,1.0,2.0,Real Bed,"TV, Cable TV, Internet, Wireless Internet, Kitchen, Free parking on premises, Breakfast, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",2017-05-09,today,20034265,2014-08-14 00:00:00,"Brussels, Brussels, Belgium",I am passionate and energetic. I enjoy good food (and lots of it). I'm a nature lover: I enjoy most outdoor (URL HIDDEN) favorite outdoor activity is hiking in mountains. I like to learn and read especially historical novels. I am sociable and enjoy taking care of people. I am in love with my beautiful family.  I am looking forward to running a B&B - hosting people from all backgrounds is right up my alley.,within a few hours,100.0,3.0,3.0,"email, phone, reviews, jumio",2,1,1125,13,35,59,330,moderate,123,2014-09-17,2017-04-06,91.0,9.0,10.0,10.0,9.0,9.0,9.0,3.82,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",75
1937,Sunshine B&B Brussels - Chatelain,"Logement calme et confortable situé au 3e étage d'une maison privée située dans un beau quartier résidentiel d'Ixelles. Nous accueillons de une à cinq personnes dans un ensemble formé de deux chambres, d'une salle de bain, d'une kitchenette et d'une grande terrasse.","Our B & B consists of two cozy bedrooms and a private bathroom and a little kitchen on the 3rd floor of a typical Brussels house located in the Art Nouveau area. In the first room there are 2 single beds for adults, and in the second room 2 single adult beds and 1 kid bed (1.70 m long). Possibility of adding a baby cot. The small kitchen on the landing includes fridge, coffee machine, kettle and cooking utensils.  On sunny days you can enjoy a large private terrace.  Free Wifi. Easy parking on the street. Breakfast included. Children up to 12 years old get a 30% discount, to be settled with owner. Near Place du Chatelain and Avenue Louise, many shops and restaurants at small distance. Many public transport services nearby and quick access to the European district. We are a Belgian family. Jacques & Françoise, the parents, live with their two daughters, Jeanne and Claire. We know our city and really love it! Don't hesitate to ask for advice or tips!","Our B & B consists of two cozy bedrooms and a private bathroom and a little kitchen on the 3rd floor of a typical Brussels house located in the Art Nouveau area. In the first room there are 2 single beds for adults, and in the second room 2 single adult beds and 1 kid bed (1.70 m long). Possibility of adding a baby cot. The small kitchen on the landing includes fridge, coffee machine, kettle and cooking utensils.  On sunny days you can enjoy a large private terrace.  Free Wifi. Easy parking on the street. Breakfast included. Children up to 12 years old get a 30% discount, to be settled with owner. Near Place du Chatelain and Avenue Louise, many shops and restaurants at small distance. Many public transport services nearby and quick access to the European district. We are a Belgian family. Jacques & Françoise, the parents, live with their two daughters, Jeanne and Claire. We know our city and really love it! Don't hesitate to ask for advice or tips!","Quartier résidentiel calme d'Ixelles, proche de la célèbre place du Châtelain et de l'avenue Louise. Nombreux commerces, restaurants, galeries d'art. Belle architecture fin XIXe - début XXe, de style éclectique, Art Nouveau, Art Déco.","A votre demande, nous pouvons vous réserver un emplacement de stationnement.  Réduction de 30% pour les enfants jusqu'à 12 ans, à arranger avec les propriétaires.","Nombreux transports en commun et accès rapide au centre ville, au quartier européen et à d'autres quartiers bruxellois. Station Villo (vélos en libre service) à 30m.",Les voyageurs ont accès de façon privative à l'entièreté du 3e étage.,"Nous connaissons très bien notre ville et serons toujours prêts à vous donner des conseils et de bonnes idées sur les plans touristique, culturel, gastronomique, ...",,1050,50.822190556738384,4.355003138877288,Bed & Breakfast,Private room,5,1.0,1.0,5.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Breakfast, Buzzer/wireless intercom, Heating, Family/kid friendly, Essentials, Shampoo, Hangers, Hair dryer, Baby bath, Changing table, High chair, Children’s books and toys, Window guards, Crib, Pack ’n Play/travel crib, Room-darkening shades, Children’s dinnerware",2017-05-09,a week ago,2023289,2012-03-28 00:00:00,"Brussels, Brussels, Belgium","Bienvenue à Bruxelles! Notre appartement est idéalement situe pour découvrir la capitale et profiter des activités culturelles, touristiques et gastronomiques aux alentours.",within a day,60.0,1.0,1.0,"email, phone, facebook, reviews",1,2,21,16,40,70,343,moderate,44,2012-09-14,2017-04-28,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.78,"Host Has Profile Pic, Is Location Exact",140
1945,Student room in the centre of Bxl,"The room: Big room with a mattres (no bed) for one or two people, a desk, a",,"The room: Big room with a mattres (no bed) for one or two people, a desk, a you have access to the complete house (exept the other students' rooms) I was born in Brussels so I know the city and I can help you ! ;-) The house is in the centre of Brussels, so you'll be close to everything ! 5-10min walking from the Grand Place, the Manneken-Pis, Ste Catherine, The Bourse, etc. 10min walking from the Central Station and the Midi Station 10min walking from the metro De Brouckère","The house is in the centre of Brussels, so you'll be close to everything ! 5-10min walking from the Grand Place, the Manneken-Pis, Ste Catherine, The Bourse, etc.",,10min walking from the Central Station and the Midi Station 10min walking from the metro De Brouckère,you have access to the complete house (exept the other students' rooms),I was born in Brussels so I know the city and I can help you ! ;-),Please don't make noise after 10pm and respect my nice roomates ! thank you ! :),1000,50.8443129628033,4.347228513151068,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,"Internet, Wireless Internet, Kitchen, Heating, Smoke detector, Fire extinguisher, Lock on bedroom door, 24-hour check-in",2017-05-09,2 months ago,20319279,2014-08-20 00:00:00,"Brussels, Brussels, Belgium","I'm an architect from Brussels, Belgium.",,,1.0,1.0,"email, phone, reviews, jumio, government_id",1,3,1125,0,0,0,0,flexible,0,,,,,,,,,,,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",55
